Strategy, Secure, Marginal, Moderate, Severe
Delayed bill, 14.15, 31.75, 57.69, 77.61
Delayed rent, 6.6, 6.45, 26.37, 39.1
Pawned possessions, 0.94, 3.17, 10.44, 29.85
Gave up internet, 1.89, 9.52, 14.4, 25.1
Gave up TV service, 2.83, 11.11, 18.68, 24.63
Sent child elsewhere, 0, 0, 4.42, 22.56
